brand,processor_brand,processor_name,ram_,ssd,hdd,weight,latest_price
Lenovo,AMD,A6-9225 Processor,4,0,1024,ThinNlight,24990
Lenovo,AMD,APU Dual,4,0,512,Casual,19590
Avita,AMD,APU Dual,4,128,0,ThinNlight,19990
Avita,AMD,APU Dual,4,128,0,ThinNlight,21490
Avita,AMD,APU Dual,4,256,0,ThinNlight,24990
Avita,AMD,APU Dual,8,256,0,ThinNlight,24990
HP,AMD,APU Dual,4,0,1024,Casual,20900
Lenovo,AMD,APU Dual,4,0,1024,Casual,21896
HP,AMD,Athlon Dual,32,32,0,Casual,26899
acer,AMD,Athlon Dual,4,256,0,Casual,31990
ASUS,Intel,Core i3,4,0,1024,Casual,34649
Lenovo,Intel,Core i3,4,0,1024,Casual,38999
Lenovo,Intel,Core i3,4,0,1024,Casual,39999
ASUS,Intel,Core i5,8,512,0,Casual,69990
ASUS,Intel,Celeron Dual,4,0,512,Casual,26990
ASUS,Intel,Celeron Dual,4,0,512,Casual,22990
ASUS,Intel,Celeron Dual,4,0,512,Casual,21990
ASUS,Intel,Core i5,8,0,1024,Casual,58799
Lenovo,Intel,Core i5,4,0,1024,Casual,49999
acer,AMD,Ryzen,4,0,512,Casual,54990
acer,AMD,Ryzen 5,4,0,512,Casual,59990
acer,AMD,Ryzen 5,4,0,512,Casual,93700
acer,AMD,Ryzen 5,4,0,512,Casual,72990
Avita,Intel,Celeron Dual,4,0,512,Casual,17490
ASUS,Intel,Celeron Dual,4,0,512,Casual,22990
ASUS,Intel,Core i3,4,256,0,Casual,35990
HP,Intel,Core i3,8,256,0,Casual,56490
HP,Intel,Core i5,8,256,0,Casual,65390
Lenovo,Intel,Celeron Dual,4,256,0,ThinNlight,31999
HP,Intel,Celeron Dual,8,256,0,ThinNlight,32490
Lenovo,Intel,Celeron Dual,4,256,0,ThinNlight,31799
ASUS,Intel,Celeron Dual,4,256,0,Casual,29890
ASUS,Intel,Celeron Dual,4,0,1024,Casual,23990
HP,Intel,Core i3,4,0,1024,Casual,32955
HP,Intel,Core i5,4,0,1024,Casual,46200
ASUS,Intel,Core i3,4,256,0,ThinNlight,34429
Lenovo,Intel,Core i3,8,256,0,ThinNlight,37990
ASUS,Intel,Core i3,4,256,0,Casual,35990
